2022-02-16 10:02:27 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2022-02-16 10:02:27 DEBUG DriverManagerConnectionProviderImpl:384 - Initializing Connection pool with 1 Connections
2022-02-16 10:02:27 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 20 (min=1)
2022-02-16 10:02:28 DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : Oracle
    version : Oracle Database 11g Express Edition Release 11.2.0.2.0 - 64bit Production
      major : 11
      minor : 2
2022-02-16 10:02:28 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : Oracle JDBC driver
    version : 21.4.0.0.1
      major : 21
      minor : 4
2022-02-16 10:02:28 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2022-02-16 10:02:28 INFO  Dialect:172 - HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2022-02-16 10:02:28 DEBUG StandardRefCursorSupport:170 - Unexpected error trying to gauge level of JDBC REF_CURSOR support : Class org.hibernate.engine.jdbc.cursor.internal.StandardRefCursorSupport can not access a member of class oracle.jdbc.driver.OracleDatabaseMetaData with modifiers "public"
2022-02-16 10:02:28 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2022-02-16 10:02:28 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@362a019c] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@1d9bec4d]
2022-02-16 10:02:28 DEBUG AnnotationBinder:557 - Binding entity from annotated class: entity.Student
2022-02-16 10:02:28 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2022-02-16 10:02:28 DEBUG EntityBinder:430 - Import with entity name Student
2022-02-16 10:02:28 DEBUG EntityBinder:873 - Bind entity entity.Student on table student
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student), mappingColumn=id, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Student:id]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for id
